school_name,school_level,class_code,campus_id,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,Mezzanine
AISD CENTRAL,District Facility,DISTRICT,968,,AISD CENTRAL DIST.svg,,,,
AKINS,High School,HIGH,017,,AKINS HS.svg,,,,
ALC,Alternative Education,ALT ED 1,012,,ALC ALT.svg,,,,
ALLISON,Elementary School,ELEM,101,,ALLISON ES.svg,,,,
ANDERSON,High School,HIGH,009,,ANDERSON HS.svg,,,,
ANDREWS,Elementary School,ELEM,102,,ANDREWS ES.svg,,,,
AUSTIN,High School,HIGH,002,,AUSTIN HS.svg,,,,
BAILEY,Middle School,MID,059,,BAILEY MS.svg,,,,
BALDWIN,Elementary School,ELEM,187,,BALDWIN ES.svg,,,,
BARANOFF,Elementary School,ELEM,182,,BARANOFF ES.svg,,,,
BARRINGTON,Elementary School,ELEM,149,,BARRINGTON ES.svg,,,,
BARTON HILLS,Elementary School,ELEM,103,,BARTON HILLS ES.svg,,,,
BEAR CREEK,Elementary School,ELEM,195,,BEAR CREEK ES.svg,,,,
BECKER,Elementary School,ELEM,104,,BECKER ES.svg,,,,
BEDICHEK,Middle School,MID,054,,BEDICHEK MS.svg,,,,
BLACKSHEAR,Elementary School,ELEM,105,,BLACKSHEAR ES.svg,,,,
BLANTON,Elementary School,ELEM,106,,BLANTON ES.svg,,,,
BLAZIER 4-6,Elementary School,ELEM,185,,BLAZIER 4-6 ES.svg,,,,
BLAZIER K-3,Elementary School,ELEM,185,,BLAZIER K-3 ES.svg,,,,
BOONE,Elementary School,ELEM,170,,BOONE ES.svg,,,,
BOWIE,High School,HIGH,013,,BOWIE HS.svg,,,,
BRENTWOOD,Elementary School,ELEM,107,,BRENTWOOD ES.svg,,,,
BROWN,Elementary School,ELEM,109,,BROWN ES.svg,,,,
BRYKER WOODS,Elementary School,ELEM,110,,BRYKER WOODS ES.svg,,,,
BURGER ATHLETIC,Athletic Facility,ATHLETIC,951,,BURGER ATHLETIC ATH.svg,,,,
BURNET,Middle School,MID,046,,BURNET MS.svg,,,,
CAMPBELL,Elementary School,ELEM,111,,CAMPBELL ES.svg,,,,
CASEY,Elementary School,ELEM,173,,CASEY ES.svg,,,,
CASIS,Elementary School,ELEM,112,,CASIS ES.svg,,,,
CENTRAL WAREHOUSE,District Facility,DISTRICT,922,,CENTRAL WAREHOUSE DIST.svg,,,,
CLAYTON,Elementary School,ELEM,184,,CLAYTON ES.svg,,,,
CLIFTON,Alternative Education,ALT ED 1,852,,CLIFTON ALT.svg,,,,
COOK,Elementary School,ELEM,161,,COOK ES.svg,,,,
COVINGTON,Middle School,MID,057,,COVINGTON MS.svg,,,,
COWAN,Elementary School,ELEM,183,,COWAN ES.svg,,,,
CROCKETT,High School,HIGH,008,,CROCKETT HS.svg,,,,
CUNNINGHAM,Elementary School,ELEM,113,,CUNNINGHAM ES.svg,,,,
DAEP,Alternative Education,ALT ED 1,115,,DAEP ALT.svg,,,,
DAVIS,Elementary School,ELEM,179,,DAVIS ES.svg,,,,
DAWSON,Elementary School,ELEM,114,,DAWSON ES.svg,,,,
DELCO CENTER,Athletic Facility,ATHLETIC,949,,DELCO CENTER ATH.svg,,,,
DOBIE,Middle School,MID,055,,DOBIE MS.svg,,,,
DOSS,Elementary School,ELEM,154,,DOSS ES.svg,,,,
EASTSIDE ECHS,High School,HIGH,142,,EASTSIDE ECHS HS.svg,,,,
GALINDO,Elementary School,ELEM,176,,GALINDO ES.svg,,,,
GARCIA,Middle School,MID,064,,GARCIA MS.svg,,,,
GARZA,High School,HIGH,015,,GARZA HS.svg,,,,
GORZYCKI,Middle School,MID,062,,GORZYCKI MS.svg,,,,
