school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes
AISD CENTRAL,District Facility,DISTRICT,968,4000 S IH 35 FRONTAGE ROAD,AUSTIN,TX,78704,,AISD CENTRAL DIST.svg,,,,,,,
AKINS,High School,HIGH,017,10701 S. FIRST STREET,AUSTIN,TX,78748,,AKINS HS.svg,,,,,,,
ALC,Alternative Education,ALT ED 1,012,4900 GONZALES STREET,AUSTIN,TX,78702,,ALC ALT.svg,,,,,,,
ALLISON,Elementary School,ELEM,101,515 VARGAS ROAD,AUSTIN,TX,78741,,ALLISON ES.svg,,,,,,,
ANDERSON,High School,HIGH,009,8403 MESA DRIVE,AUSTIN,TX,78759,,ANDERSON HS.svg,,,,,,,
ANDREWS,Elementary School,ELEM,102,6801 NORTHEAST DRIVE,AUSTIN,TX,78723,,ANDREWS ES.svg,,,,,,,
AUSTIN,High School,HIGH,002,1715 W. CESAR CHAVEZ STREET,AUSTIN,TX,78703,,AUSTIN HS.svg,,,,,,,
BAILEY,Middle School,MID,059,4020 LOST OASIS HOLLOW,AUSTIN,TX,78739,,BAILEY MS.svg,,,,,,,
BALDWIN,Elementary School,ELEM,187,12200 MERIDIAN PARK BLVD,AUSTIN,TX,78739,,BALDWIN ES.svg,,,,,,,
BARANOFF,Elementary School,ELEM,182,12009 BUCKINGHAM GATE ROAD,AUSTIN,TX,78748,,BARANOFF ES.svg,,,,,,,
BARRINGTON,Elementary School,ELEM,149,400 COOPER DRIVE,AUSTIN,TX,78752,,BARRINGTON ES.svg,,,,,,,
BARTON HILLS,Elementary School,ELEM,103,2108 BARTON HILLS DRIVE,AUSTIN,TX,78704,,BARTON HILLS ES.svg,,,,,,,
BEAR CREEK,Elementary School,ELEM,195,12801 ESCARPMENT BLVD,AUSTIN,TX,78739,,BEAR CREEK ES.svg,,,,,,,
BECKER,Elementary School,ELEM,104,906 W MILTON STREET,AUSTIN,TX,78704,,BECKER ES.svg,,,,,,,
BEDICHEK,Middle School,MID,054,6800 BILL HUGHES ROAD,AUSTIN,TX,78745,,BEDICHEK MS.svg,,,,,,,
BLACKSHEAR,Elementary School,ELEM,105,1712 E. 11TH STREET,AUSTIN,TX,78702,,BLACKSHEAR ES.svg,,,,,,,
BLANTON,Elementary School,ELEM,106,5408 WESTMINSTER DRIVE,AUSTIN,TX,78723,,BLANTON ES.svg,,,,,,,
BLAZIER 4-6,Elementary School,ELEM,185,8801 VERTEX BLVD,AUSTIN,TX,78744,,BLAZIER 4-6 ES.svg,,,,,,,
BLAZIER K-3,Elementary School,ELEM,185,8601 VERTEX BLVD,AUSTIN,TX,78744,,BLAZIER K-3 ES.svg,,,,,,,
BOONE,Elementary School,ELEM,170,8101 CROFTWOOD DRIVE,AUSTIN,TX,78749,,BOONE ES.svg,,,,,,,
BOWIE,High School,HIGH,013,4103 W. SLAUGHTER LANE,AUSTIN,TX,78749,,BOWIE HS.svg,,,,,,,
BRENTWOOD,Elementary School,ELEM,107,6700 ARROYO SECO,AUSTIN,TX,78757,,BRENTWOOD ES.svg,,,,,,,
BROWN,Elementary School,ELEM,109,505 W. ANDERSON LANE,AUSTIN,TX,78752,,BROWN ES.svg,,,,,,,
BRYKER WOODS,Elementary School,ELEM,110,3309 KERBEY LANE,AUSTIN,TX,78703,,BRYKER WOODS ES.svg,,,,,,,
BURGER ATHLETIC,Athletic Facility,ATHLETIC,951,3200 JONES ROAD,AUSTIN,TX,78745,,BURGER ATHLETIC ATH.svg,,,,,,,
BURNET,Middle School,MID,046,8401 HATHAWAY STREET,AUSTIN,TX,78757,,BURNET MS.svg,,,,,,,
CAMPBELL,Elementary School,ELEM,111,2613 ROGERS AVE.,AUSTIN,TX,78722,,CAMPBELL ES.svg,,,,,,,
CASEY,Elementary School,ELEM,173,9400 TEXAS OAKS DRIVE,AUSTIN,TX,78748,,CASEY ES.svg,,,,,,,
