school_name,school_level,class_code,campus_id,address,city,state,zip,Basement,Floor 1,Floor 2,Floor 3,Floor 4,Floor 5,uploaded,source_file,notes,longitude,latitude,in_survey_dropdown
AISD CENTRAL,District Facility,DISTRICT,968,4000 S IH 35 FRONTAGE ROAD,AUSTIN,TX,78704,,AISD CENTRAL DIST.svg,,,,,,,,-97.7534932175768,30.21859790053986,yes
AKINS,High School,HIGH,017,10701 S. FIRST STREET,AUSTIN,TX,78748,,AKINS HS.svg,,,,,,,,-97.80092528499995,30.149085824000057,yes
ALC,Alternative Education,ALT ED 1,012,4900 GONZALES STREET,AUSTIN,TX,78702,,ALC ALT.svg,,,,,,,,-97.69713335499995,30.256067088000066,yes
ALLISON,Elementary School,ELEM,101,515 VARGAS ROAD,AUSTIN,TX,78741,,ALLISON ES.svg,,,,,,,,-97.69159719699996,30.236035031000032,yes
ANDERSON,High School,HIGH,009,8403 MESA DRIVE,AUSTIN,TX,78759,,ANDERSON HS.svg,,,,,,,,-97.75318516299996,30.375655041000073,yes
ANDREWS,Elementary School,ELEM,102,6801 NORTHEAST DRIVE,AUSTIN,TX,78723,,ANDREWS ES.svg,,,,,,,,-97.67978390099995,30.317710412000054,yes
AUSTIN,High School,HIGH,002,1715 W. CESAR CHAVEZ STREET,AUSTIN,TX,78703,,AUSTIN HS.svg,,,,,,,,-97.76715330999997,30.273810837000045,yes
BAILEY,Middle School,MID,059,4020 LOST OASIS HOLLOW,AUSTIN,TX,78739,,BAILEY MS.svg,,,,,,,,-97.87236360699995,30.164279990000065,yes
BALDWIN,Elementary School,ELEM,187,12200 MERIDIAN PARK BLVD,AUSTIN,TX,78739,,BALDWIN ES.svg,,,,,,,,-97.92329070699998,30.184839726000064,yes
BARANOFF,Elementary School,ELEM,182,12009 BUCKINGHAM GATE ROAD,AUSTIN,TX,78748,,BARANOFF ES.svg,,,,,,,,-97.85203229799998,30.15382154100007,yes
BARRINGTON,Elementary School,ELEM,149,400 COOPER DRIVE,AUSTIN,TX,78752,,BARRINGTON ES.svg,,,,,,,,-97.69592244899997,30.360495785000072,yes
BARTON HILLS,Elementary School,ELEM,103,2108 BARTON HILLS DRIVE,AUSTIN,TX,78704,,BARTON HILLS ES.svg,,,,,,,,-97.78334656699998,30.254405554000073,yes
BEAR CREEK,Elementary School,ELEM,195,12801 ESCARPMENT BLVD,AUSTIN,TX,78739,,BEAR CREEK ES.svg,,,,,,,,-97.91032966199998,30.170175377000074,yes
BECKER,Elementary School,ELEM,104,906 W MILTON STREET,AUSTIN,TX,78704,,BECKER ES.svg,,,,,,,,-97.75931365399998,30.25042170000006,yes
BEDICHEK,Middle School,MID,054,6800 BILL HUGHES ROAD,AUSTIN,TX,78745,,BEDICHEK MS.svg,,,,,,,,-97.78671822399997,30.194418913000053,yes
BLACKSHEAR,Elementary School,ELEM,105,1712 E. 11TH STREET,AUSTIN,TX,78702,,BLACKSHEAR ES.svg,,,,,,,,-97.72193464799994,30.26699004900007,yes
BLANTON,Elementary School,ELEM,106,5408 WESTMINSTER DRIVE,AUSTIN,TX,78723,,BLANTON ES.svg,,,,,,,,-97.69018899599996,30.306884763000028,yes
BLAZIER 4-6,Elementary School,ELEM,185,8801 VERTEX BLVD,AUSTIN,TX,78744,,BLAZIER 4-6 ES.svg,,,,,,,,-97.75163058799995,30.156212394000082,yes
BLAZIER K-3,Elementary School,ELEM,185,8601 VERTEX BLVD,AUSTIN,TX,78744,,BLAZIER K-3 ES.svg,,,,,,,,-97.75177697021998,30.156615862131666,yes
BOONE,Elementary School,ELEM,170,8101 CROFTWOOD DRIVE,AUSTIN,TX,78749,,BOONE ES.svg,,,,,,,,-97.84069493799996,30.204007670000067,yes
BOWIE,High School,HIGH,013,4103 W. SLAUGHTER LANE,AUSTIN,TX,78749,,BOWIE HS.svg,,,,,,,,-97.85877882399996,30.186915879000026,yes
BRENTWOOD,Elementary School,ELEM,107,6700 ARROYO SECO,AUSTIN,TX,78757,,BRENTWOOD ES.svg,,,,,,,,-97.73145124199999,30.339799905000064,yes
BROWN,Elementary School,ELEM,109,505 W. ANDERSON LANE,AUSTIN,TX,78752,,BROWN ES.svg,,,,,,,,-97.70908672299998,30.34481252200004,yes
BRYKER WOODS,Elementary School,ELEM,110,3309 KERBEY LANE,AUSTIN,TX,78703,,BRYKER WOODS ES.svg,,,,,,,,-97.75092002799994,30.305369168000027,yes
BURGER ATHLETIC,Athletic Facility,ATHLETIC,951,3200 JONES ROAD,AUSTIN,TX,78745,,BURGER ATHLETIC ATH.svg,,,,,,,,-97.80968418712806,30.23050583175789,yes
BURNET,Middle School,MID,046,8401 HATHAWAY STREET,AUSTIN,TX,78757,,BURNET MS.svg,,,,,,,,-97.72548693699997,30.363827933000042,yes
CAMPBELL,Elementary School,ELEM,111,2613 ROGERS AVE.,AUSTIN,TX,78722,,CAMPBELL ES.svg,,,,,,,,-97.71385366599998,30.28251611900004,yes
CASEY,Elementary School,ELEM,173,9400 TEXAS OAKS DRIVE,AUSTIN,TX,78748,,CASEY ES.svg,,,,,,,,-97.81484994899995,30.176860730000048,yes
CASIS,Elementary School,ELEM,112,2710 EXPOSITION BLVD.,AUSTIN,TX,78703,,CASIS ES.svg,,,,,,,,-97.76550857499996,30.304354434000064,yes
CENTRAL WAREHOUSE,District Facility,DISTRICT,922,3701 WOODBURY DRIVE,AUSTIN,TX,78704,,CENTRAL WAREHOUSE DIST.svg,,,,,,,,-97.75950305978742,30.22522390090918,yes
